timestamp,sig generator,sig_id,sig_rev,msg,proto,src,src_port,dst,dst_port,ethsrc,ethdst,ethlen,txpflags,tcpseq,tcppack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmp code,icmp_id,icmp_seq
10/06-13:07:45.494560,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33600,68,69632,3,10,0,0
10/06-13:07:49.938426,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD60D8,0x91DC03F9,,0x5A4,39,16,19498,88,90112,,,,
10/06-13:07:50.882058,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6168,0x91DC0489,,0x5A4,39,16,19506,88,90112,,,,
10/06-13:07:51.789337 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD61F8,0x91DC0519,,0x5A4,39,16,19514,88,90112,,,,
10/06-13:07:53.684760 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6288,0x91DC05A9,,0x5A4,39,16,19522,88,90112,,,,
10/06-13:07:54.429380 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6318,0x91DC0641,,0x5A4,39,16,19530,88,90112,,,,
10/06-13:07:58.916148 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD63A8,0x91DC0791,,0x5A4,41,16,19538,88,90112,,,,
10/06-13:08:00.272090 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6438,0x91DC0845,,0x5A4,41,16,19547,88,90112,,,,
10/06-13:08:01.549098 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD64C8,0x91DC08D5,,0x5A4,41,16,19555,88,90112,,,,
10/06-13:08:02.780379 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6558,0x91DC0941,,0x5A4,41,16,19562,88,90112,,,,
10/06-13:08:03.727536 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD65E8,0x91DC09FD,,0x5A4,41,16,19570,88,90112,,,,
10/06-13:08:43.348879 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6680,0x91DC2155,,0x5A4,39,16,19589,96,98304,,,,
10/06-13:08:47.548234 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6728,0x91DC2DAD,,0x5A4,39,16,19598,96,98304,,,,
10/06-13:08:50.101830 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD67D8,0x91DC2F1D,,0x5A4,39,16,19606,96,98304,,,,
10/06-13:08:51.656152 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6880,0x91DC2FF5,,0x5A4,39,16,19614,88,90112,,,,
10/06-13:08:52.608133 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6910,0x91DC30C1,,0x5A4,39,16,19621,88,90112,,,,
10/06-13:09:03.396407 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33601,68,69632,3,10,0,0
10/06-13:09:43.008273 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,80.211.173.234,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,43,192,11754,68,69632,3,10,0,0
10/06-13:11:15.748798 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33602,68,69632,3,10,0,0
10/06-13:11:54.328159 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,80.211.226.193,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,41,192,586,68,69632,3,10,0,0
10/06-13:12:40.725342 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33603,68,69632,3,10,0,0
10/06-13:12:45.496330 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33604,68,69632,3,10,0,0
10/06-13:12:47.803298 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33605,68,69632,3,10,0,0
10/06-13:12:53.982949 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD69A8,0x91DC371D,,0x5A4,41,16,19632,96,98304,,,,
10/06-13:12:53.982949 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD69A8,0x91DC371D,,0x5A4,41,16,19632,96,98304,,,,
10/06-13:12:54.145730 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD69D4,0x91DC3759,,0x5A4,41,16,19633,52,53248,,,,
10/06-13:12:54.145754 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD69D4,0x91DC3759,,0x5A4,41,16,19634,88,90112,,,,
10/06-13:12:54.145754 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD69D4,0x91DC3759,,0x5A4,41,16,19634,88,90112,,,,
10/06-13:12:54.312441 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD69F8,0x91DC3A21,,0x5A4,41,16,19635,52,53248,,,,
10/06-13:12:57.398359 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD69F8,0x91DC3A21,,0x5A4,41,16,19636,96,98304,,,,
10/06-13:12:57.398359 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD69F8,0x91DC3A21,,0x5A4,41,16,19636,96,98304,,,,
10/06-13:12:57.561070 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A24,0x91DC3A5D,,0x5A4,41,16,19637,96,98304,,,,
10/06-13:12:57.561070 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A24,0x91DC3A5D,,0x5A4,41,16,19637,96,98304,,,,
10/06-13:12:57.768552 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6A50,0x91DC3AB9,,0x5A4,41,16,19638,52,53248,,,,
10/06-13:12:57.894103 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A50,0x91DC3AB9,,0x5A4,41,16,19639,96,98304,,,,
10/06-13:12:57.894103 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A50,0x91DC3AB9,,0x5A4,41,16,19639,96,98304,,,,
