dst_port,dgmlen,iplen,src
,68,69632,134.119.193.57
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,52,53248,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,52,53248,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,52,53248,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,52,53248,95.233.32.171
22,96,98304,95.233.32.171
22,96,98304,95.233.32.171
22,52,53248,95.233.32.171
22,88,90112,95.233.32.171
22,88,90112,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
22,52,53248,95.233.32.171
,68,69632,80.211.226.193
,68,69632,80.211.173.234
,68,69632,80.211.226.193
,68,69632,134.119.193.57
48144,40,40960,185.180.14.91
247,40,40960,172.31.45.111
,68,69632,134.119.193.57
48144,40,40960,185.180.14.91
247,40,40960,172.31.45.111
,68,69632,134.119.193.57
22,96,98304,95.233.32.171
22,88,90112,95.233.32.171
22,96,98304,95.233.32.171
,68,69632,134.119.193.57
22,88,90112,95.233.32.171
,68,69632,134.119.193.57
48144,40,40960,185.180.14.91
247,40,40960,172.31.45.111
,68,69632,134.119.193.57
,68,69632,80.211.226.193
,68,69632,134.119.193.57
48144,40,40960,185.180.14.91
247,40,40960,172.31.45.111
,68,69632,80.211.173.234
,68,69632,134.119.193.57
48144,40,40960,185.180.14.91
247,40,40960,172.31.45.111
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
22,116,118784,14.246.75.64
52747,76,77824,172.31.0.2
,68,69632,80.211.173.234
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,80.211.226.193
,68,69632,134.119.193.57
